lsa_0,lsa_1,rating,month,review_age_days,location_freq,title_len,word_count,avg_word_len,sentiment,sentiment_extremity,is_helpful
0.1984967414470148,-0.1375331304212336,4,3,38,958,4,23,10.347826086956522,0.8834,0.8834,1
0.18932007215150065,0.05464455144472333,5,4,7,958,24,24,8.875,0.9312,0.9312,1
0.19057432132320737,0.14546858324930587,5,2,68,958,75,102,9.441176470588236,0.989,0.989,1
0.06935856334976509,-0.10729185619059553,5,4,5,38,30,8,7.875,0.8707,0.8707,0
0.21697054425591353,0.10657037208706915,5,1,92,958,58,74,10.067567567567568,0.9916,0.9916,1
0.4356776751110282,-0.2147803692324817,5,4,23,958,33,31,9.483870967741936,0.9856,0.9856,1
0.20579240419120745,0.10924846869492144,4,2,66,958,36,35,9.628571428571428,0.9461,0.9461,1
0.16204517715507466,-0.08314651875653183,5,2,63,958,5,40,11.25,0.8811,0.8811,1
0.2209205192563296,0.03397353298498078,5,4,30,958,36,29,8.620689655172415,0.9403,0.9403,1
0.2651237416199027,0.03135278683916745,5,4,7,958,21,19,9.0,0.9391,0.9391,0
0.14903427076463222,0.09359636927694824,5,4,4,958,9,30,8.533333333333333,0.9359,0.9359,1
0.15687010879382213,0.0017549098587831304,5,3,33,958,17,6,4.0,0.1779,0.1779,0
0.21346220592975018,-0.26536670978474985,5,4,18,958,34,11,7.181818181818182,0.7964,0.7964,1
0.22820570218367509,-0.19693667121356137,5,4,20,958,48,35,8.371428571428572,0.9686,0.9686,1
0.18312295590317548,0.20816196426294592,5,4,17,958,14,24,11.208333333333334,0.9393,0.9393,0
0.1869163638917738,-0.06153714248740536,5,4,9,958,26,135,11.42962962962963,0.9688,0.9688,1
0.16314631165194446,-0.09410420652310911,5,2,75,958,39,53,12.528301886792454,0.9623,0.9623,1
0.1553714275456773,0.07040143454185539,5,4,30,958,37,61,9.57377049180328,0.956,0.956,1
0.19870674533497867,0.21054805314985187,5,3,35,958,92,91,10.747252747252746,0.9844,0.9844,1
0.1155061685346087,0.14810638651858815,5,3,1862,5,20,19,9.157894736842104,0.8807,0.8807,0
0.18124036764052576,-0.17542259257765494,5,4,18,958,12,20,9.3,0.9117,0.9117,1
0.1554537404850417,0.15434836897491325,5,4,31,958,61,70,10.314285714285717,0.9588,0.9588,1
