lsa_0,lsa_1,rating,year,month,day_of_week,location_freq,title_len,body_len,word_count,cluster_kmeans,cluster_dbscan,cluster_hac,is_helpful
0.2114777081594471,-0.08859288474431978,4,2024,11,4,1190,29,1512,149,2,-1,2,1
0.12259662790409527,-0.03336262945756556,5,2025,2,2,1190,43,989,92,4,-1,0,1
0.1279595055262507,-0.07175802870413182,5,2025,5,5,1190,34,1413,131,4,-1,0,1
0.12023211033405816,-0.02161668989020407,5,2026,4,5,1190,19,226,17,4,-1,0,1
0.13463032587619284,-0.08521136236375888,5,2026,4,6,1190,59,145,18,4,-1,0,1
0.17521325158840498,-0.10622678263992719,5,2026,4,5,1190,16,231,22,0,-1,0,1
0.14132256098864224,-0.12005193414645907,4,2026,4,3,1190,11,387,32,0,-1,0,1
0.19879824878902552,-0.10190244063236717,5,2026,4,0,1190,35,150,22,2,3,2,1
0.09653105424674396,-0.07501775008301462,5,2026,4,4,1190,28,269,33,4,-1,0,0
0.1814542471064463,-0.08449825976342815,5,2026,3,5,1190,69,648,67,2,1,0,1
0.09517794072131573,-0.022696531553471032,5,2026,4,5,1190,11,69,6,4,-1,0,0
0.10544058086828689,-0.05428014506468802,5,2026,3,5,122,74,539,51,4,-1,0,0
0.11632808179731643,-0.01189812548417575,4,2026,4,2,122,12,50,7,4,-1,0,0
0.1297273317209827,-0.021972956973819527,5,2026,4,5,122,11,49,6,4,-1,0,0
0.17692406488084644,-0.08802626587327733,5,2026,3,5,122,11,51,8,2,1,0,0
0.22584252251512038,-0.25041160189530975,5,2026,4,2,1190,33,350,37,0,-1,1,1
0.15020632274596035,-0.18466666289175482,5,2026,4,1,1190,20,193,23,0,-1,1,1
0.26991373748425435,-0.2613926200071742,5,2026,4,3,1190,16,76,11,0,-1,1,0
0.18108978780035762,-0.22961478274803968,5,2026,4,0,1190,34,82,16,0,-1,1,1
0.2285866310386492,-0.16988612308827278,4,2026,4,2,1190,35,370,39,0,-1,2,1
0.1533229196169252,-0.17978805852985003,5,2026,4,3,1190,13,280,24,0,-1,1,0
0.2608660837955033,-0.24170939704452032,5,2026,4,6,1190,34,1721,169,0,-1,1,1
0.09163147114787527,-0.11179957509787265,5,2026,4,1,1190,25,192,20,4,-1,0,1
0.1488193053181637,-0.04432866865727854,5,2026,4,1,1190,15,205,23,4,-1,0,1
0.25657739453385026,-0.16459607460284043,5,2026,4,3,1190,7,81,7,0,-1,2,1
0.17514276787922092,-0.0648747071131966,5,2026,4,5,1190,29,153,19,2,-1,0,1
0.18570052024909467,-0.084505462284618,5,2026,4,0,1190,81,1312,113,2,1,0,1
0.142725269964715,-0.04686703311300175,5,2026,4,6,1190,11,343,27,4,-1,0,1
0.114247239401509,-0.07176939926929,5,2026,4,6,1190,12,206,21,4,-1,0,1
0.24882268655633252,-0.11672865029831027,5,2026,3,5,1190,42,1411,140,2,-1,2,1
0.2004789079198422,-0.10580175468277983,4,2026,4,3,1190,36,295,36,0,-1,2,1
0.20048625774585135,-0.13306430855573412,5,2026,4,6,1190,30,276,34,0,-1,1,1
0.1621302417517682,-0.05388604924160986,5,2026,3,5,1190,90,789,73,4,-1,0,1
0.23308072291493936,-0.07357619263718641,5,2026,4,3,1190,38,271,36,2,-1,2,1
0.24862934339972248,-0.10703612545947887,5,2026,3,3,1190,55,919,85,2,-1,2,1
0.19186731537058466,-0.11710799019241618,4,2026,2,3,1190,39,1067,111,0,-1,0,1
0.23498525846951088,-0.03554679588945865,5,2026,3,1,1190,74,285,38,2,-1,2,1
